Date,Closing Price,Return
113/07/01,27.10,0.0
113/07/02,27.10,0.0
113/07/03,27.05,-0.00185
113/07/04,26.80,-0.00924
113/07/05,26.95,0.0056
113/07/08,28.90,0.07236
113/07/09,28.05,-0.02941
113/07/10,27.45,-0.02139
113/07/11,27.00,-0.01639
113/07/12,26.90,-0.0037
113/07/15,26.90,0.0
113/07/16,26.90,0.0
113/07/17,26.55,-0.01301
113/07/18,26.35,-0.00753
113/07/19,25.65,-0.02657
113/07/22,24.55,-0.04288
113/07/23,24.95,0.01629
113/07/26,25.60,0.02605
113/07/29,23.65,-0.07617
113/07/30,23.35,-0.01268
113/07/31,23.15,-0.00857
113/08/01,23.85,0.03024
113/08/02,23.00,-0.03564
113/08/05,20.70,-0.1
113/08/06,20.20,-0.02415
113/08/07,21.75,0.07673
113/08/08,21.80,0.0023
113/08/09,23.05,0.05734
113/08/12,22.45,-0.02603
113/08/13,21.75,-0.03118
113/08/14,22.15,0.01839
113/08/15,22.00,-0.00677
113/08/16,22.05,0.00227
113/08/19,22.00,-0.00227
113/08/20,22.10,0.00455
113/08/21,21.95,-0.00679
113/08/22,22.25,0.01367
113/08/23,22.25,0.0
113/08/26,22.10,-0.00674
113/08/27,22.15,0.00226
113/08/28,22.95,0.03612
113/08/29,22.60,-0.01525
113/08/30,22.35,-0.01106
113/09/02,22.10,-0.01119
113/09/03,22.00,-0.00452
113/09/04,21.55,-0.02045
113/09/05,21.55,0.0
113/09/06,22.00,0.02088
113/09/09,21.50,-0.02273
113/09/10,21.10,-0.0186
113/09/11,21.00,-0.00474
113/09/12,21.50,0.02381
113/09/13,21.55,0.00233
113/09/16,22.25,0.03248
113/09/18,22.10,-0.00674
113/09/19,22.65,0.02489
113/09/20,22.55,-0.00442
113/09/23,22.70,0.00665
113/09/24,22.60,-0.00441
113/09/25,22.60,0.0
113/09/26,22.60,0.0
113/09/27,22.70,0.00442
113/09/30,22.70,0.0
113/10/01,22.65,-0.0022
113/10/04,22.40,-0.01104
113/10/07,22.25,-0.0067
113/10/08,21.85,-0.01798
113/10/09,22.15,0.01373
113/10/11,22.10,-0.00226
113/10/14,21.80,-0.01357
113/10/15,22.00,0.00917
113/10/16,22.25,0.01136
113/10/17,22.20,-0.00225
113/10/18,22.05,-0.00676
113/10/21,22.00,-0.00227
113/10/22,22.00,0.0
113/10/23,21.85,-0.00682
113/10/24,21.85,0.0
113/10/25,21.65,-0.00915
113/10/28,22.40,0.03464
113/10/29,22.20,-0.00893
113/10/30,22.05,-0.00676
113/11/01,21.90,-0.0068
113/11/04,21.80,-0.00457
113/11/05,21.95,0.00688
113/11/06,22.05,0.00456
113/11/07,22.10,0.00227
113/11/08,21.95,-0.00679
113/11/11,21.60,-0.01595
113/11/12,21.30,-0.01389
113/11/13,21.35,0.00235
113/11/14,21.05,-0.01405
113/11/15,21.30,0.01188
113/11/18,21.15,-0.00704
113/11/19,20.95,-0.00946
113/11/20,20.90,-0.00239
113/11/21,20.95,0.00239
113/11/22,20.90,-0.00239
113/11/25,20.85,-0.00239
113/11/26,20.80,-0.0024
113/11/27,20.85,0.0024
113/11/28,20.80,-0.0024
113/11/29,22.00,0.05769
113/12/02,22.10,0.00455
113/12/03,22.30,0.00905
113/12/04,23.00,0.03139
113/12/05,22.45,-0.02391
113/12/06,22.60,0.00668
113/12/09,22.30,-0.01327
113/12/10,21.70,-0.02691
113/12/11,21.70,0.0
113/12/12,21.55,-0.00691
113/12/13,21.70,0.00696
113/12/16,21.70,0.0
113/12/17,21.40,-0.01382
113/12/18,21.40,0.0
113/12/19,21.35,-0.00234
113/12/20,21.70,0.01639
113/12/23,22.05,0.01613
113/12/24,21.90,-0.0068
113/12/25,21.90,0.0
113/12/26,22.40,0.02283
113/12/27,22.90,0.02232
113/12/30,22.25,-0.02838
113/12/31,22.35,0.00449
