Date,Closing Price,Return
113/07/01,968.00,0.0
113/07/02,960.00,-0.00826
113/07/03,979.00,0.01979
113/07/04,1005.00,0.02656
113/07/05,1005.00,0.0
113/07/08,1035.00,0.02985
113/07/09,1040.00,0.00483
113/07/10,1045.00,0.00481
113/07/11,1080.00,0.03349
113/07/12,1040.00,-0.03704
113/07/15,1040.00,0.0
113/07/16,1055.00,0.01442
113/07/17,1030.00,-0.0237
113/07/18,1005.00,-0.02427
113/07/19,970.00,-0.03483
113/07/22,939.00,-0.03196
113/07/23,979.00,0.0426
113/07/26,924.00,-0.05618
113/07/29,944.00,0.02165
113/07/30,940.00,-0.00424
113/07/31,934.00,-0.00638
113/08/01,960.00,0.02784
113/08/02,903.00,-0.05938
113/08/05,815.00,-0.09745
113/08/06,880.00,0.07975
113/08/07,920.00,0.04545
113/08/08,896.00,-0.02609
113/08/09,934.00,0.04241
113/08/12,940.00,0.00642
113/08/13,941.00,0.00106
113/08/14,948.00,0.00744
113/08/15,943.00,-0.00527
113/08/16,969.00,0.02757
113/08/19,973.00,0.00413
113/08/20,973.00,0.0
113/08/21,958.00,-0.01542
113/08/22,951.00,-0.00731
113/08/23,949.00,-0.0021
113/08/26,950.00,0.00105
113/08/27,942.00,-0.00842
113/08/28,964.00,0.02335
113/08/29,943.00,-0.02178
113/08/30,944.00,0.00106
113/09/02,948.00,0.00424
113/09/03,940.00,-0.00844
113/09/04,889.00,-0.05426
113/09/05,902.00,0.01462
113/09/06,918.00,0.01774
113/09/09,899.00,-0.0207
113/09/10,904.00,0.00556
113/09/11,901.00,-0.00332
113/09/12,940.00,0.04329
113/09/13,947.00,0.00745
113/09/16,947.00,0.0
113/09/18,941.00,-0.00634
113/09/19,960.00,0.02019
113/09/20,973.00,0.01354
113/09/23,977.00,0.00411
113/09/24,987.00,0.01024
113/09/25,1005.00,0.01824
113/09/26,1015.00,0.00995
113/09/27,1000.00,-0.01478
113/09/30,957.00,-0.043
113/10/01,972.00,0.01567
113/10/04,977.00,0.00514
113/10/07,1005.00,0.02866
113/10/08,1010.00,0.00498
113/10/09,1020.00,0.0099
113/10/11,1045.00,0.02451
113/10/14,1045.00,0.0
113/10/15,1070.00,0.02392
113/10/16,1045.00,-0.02336
113/10/17,1035.00,-0.00957
113/10/18,1085.00,0.04831
113/10/21,1085.00,0.0
113/10/22,1075.00,-0.00922
113/10/23,1060.00,-0.01395
113/10/24,1060.00,0.0
113/10/25,1065.00,0.00472
113/10/28,1050.00,-0.01408
113/10/29,1040.00,-0.00952
113/10/30,1030.00,-0.00962
113/11/01,1025.00,-0.00485
113/11/04,1040.00,0.01463
113/11/05,1050.00,0.00962
113/11/06,1060.00,0.00952
113/11/07,1065.00,0.00472
113/11/08,1090.00,0.02347
113/11/11,1085.00,-0.00459
113/11/12,1050.00,-0.03226
113/11/13,1035.00,-0.01429
113/11/14,1035.00,0.0
113/11/15,1035.00,0.0
113/11/18,1025.00,-0.00966
113/11/19,1040.00,0.01463
113/11/20,1025.00,-0.01442
113/11/21,1010.00,-0.01463
113/11/22,1040.00,0.0297
113/11/25,1030.00,-0.00962
113/11/26,1010.00,-0.01942
113/11/27,1000.00,-0.0099
113/11/28,1005.00,0.005
113/11/29,996.00,-0.00896
113/12/02,1035.00,0.03916
113/12/03,1055.00,0.01932
113/12/04,1070.00,0.01422
113/12/05,1075.00,0.00467
113/12/06,1065.00,-0.0093
113/12/09,1075.00,0.00939
113/12/10,1065.00,-0.0093
113/12/11,1045.00,-0.01878
113/12/12,1060.00,0.01435
113/12/13,1065.00,0.00472
113/12/16,1085.00,0.01878
113/12/17,1075.00,-0.00922
113/12/18,1085.00,0.0093
113/12/19,1070.00,-0.01382
113/12/20,1035.00,-0.03271
113/12/23,1080.00,0.04348
113/12/24,1080.00,0.0
113/12/25,1085.00,0.00463
113/12/26,1085.00,0.0
113/12/27,1090.00,0.00461
113/12/30,1090.00,0.0
113/12/31,1075.00,-0.01376
