Date,Price to earning ratio,Price-book ratio
108年10月23日,23.96,4.89
108年10月24日,23.96,4.89
108年10月25日,24.00,4.90
108年10月28日,24.08,4.91
108年10月29日,24.41,4.98
108年10月30日,24.49,5.00
108年10月31日,24.41,4.98
108年11月01日,24.45,4.99
108年11月04日,25.10,5.12
108年11月05日,25.39,5.18
108年11月06日,25.43,5.19
108年11月07日,25.27,5.16
108年11月08日,24.98,5.10
108年11月11日,24.61,5.02
108年11月12日,24.94,5.09
108年11月13日,24.86,5.07
108年11月14日,23.90,4.96
108年11月15日,24.17,5.02
108年11月18日,24.49,5.08
108年11月19日,24.80,5.15
108年11月20日,24.69,5.12
108年11月21日,24.49,5.08
108年11月22日,24.33,5.05
108年11月25日,24.17,5.02
108年11月26日,24.17,5.02
108年11月27日,24.49,5.08
108年11月28日,24.37,5.06
108年11月29日,24.02,4.98
108年12月02日,24.21,5.02
108年12月03日,24.17,5.02
108年12月04日,24.09,5.00
108年12月05日,24.57,5.10
108年12月06日,24.65,5.11
108年12月09日,24.88,5.16
108年12月10日,24.69,5.12
108年12月11日,25.12,5.21
108年12月12日,26.10,5.42
108年12月13日,26.69,5.54
108年12月16日,26.46,5.49
108年12月17日,27.17,5.64
108年12月18日,27.13,5.63
108年12月19日,26.38,5.47
108年12月20日,25.91,5.38
108年12月23日,26.30,5.46
108年12月24日,26.14,5.42
108年12月25日,26.22,5.44
108年12月26日,26.22,5.44
108年12月27日,26.61,5.52
108年12月30日,26.34,5.47
108年12月31日,26.06,5.41
109年01月02日,26.69,5.54
109年01月03日,26.73,5.55
109年01月06日,26.14,5.42
109年01月07日,25.94,5.38
109年01月08日,25.94,5.38
109年01月09日,26.57,5.51
109年01月10日,26.73,5.55
109年01月13日,26.89,5.58
109年01月14日,27.24,5.65
109年01月15日,26.77,5.56
109年01月16日,26.34,5.47
109年01月17日,26.22,5.44
109年01月20日,26.22,5.44
109年01月30日,24.92,5.17
109年01月31日,25.20,5.23
109年02月03日,24.80,5.15
109年02月04日,25.59,5.31
109年02月05日,25.79,5.35
109年02月06日,26.18,5.43
109年02月07日,25.83,5.36
109年02月10日,25.79,5.35
109年02月11日,26.10,5.42
109年02月12日,26.38,5.47
109年02月13日,26.38,5.47
109年02月14日,26.38,5.47
109年02月17日,26.10,5.42
109年02月18日,25.35,5.26
109年02月19日,25.71,5.33
109年02月20日,25.63,5.32
109年02月21日,25.59,5.31
109年02月24日,25.20,5.23
109年02月25日,25.35,5.26
109年02月26日,25.08,5.20
109年02月27日,24.88,5.16
109年03月02日,23.35,4.97
109年03月03日,23.84,5.08
109年03月04日,24.06,5.13
109年03月05日,24.25,5.17
109年03月06日,23.65,5.04
109年03月09日,22.94,4.89
109年03月10日,23.05,4.91
109年03月11日,22.67,4.83
109年03月12日,22.07,4.70
109年03月13日,21.77,4.64
109年03月16日,20.76,4.42
109年03月17日,20.12,4.29
109年03月18日,19.52,4.16
109年03月19日,18.62,3.97
109年03月20日,20.27,4.32
109年03月23日,19.14,4.08
109年03月24日,20.08,4.28
109年03月25日,20.80,4.43
109年03月26日,21.02,4.48
109年03月27日,20.50,4.37
109年03月30日,20.08,4.28
109年03月31日,20.57,4.38
109年04月01日,20.38,4.34
109年04月06日,20.68,4.41
109年04月07日,21.25,4.53
109年04月08日,21.40,4.56
109年04月09日,21.25,4.53
109年04月10日,20.98,4.47
109年04月13日,20.91,4.45
109年04月14日,21.40,4.56
109年04月15日,21.58,4.60
109年04月16日,21.51,4.58
109年04月17日,23.01,4.90
109年04月20日,22.82,4.86
109年04月21日,22.15,4.72
109年04月22日,22.07,4.70
109年04月23日,22.18,4.73
109年04月24日,22.07,4.70
109年04月27日,22.37,4.77
109年04月28日,22.26,4.74
109年04月29日,22.45,4.78
109年04月30日,22.86,4.87
109年05月04日,22.15,4.72
109年05月05日,22.18,4.73
109年05月06日,22.22,4.73
109年05月07日,22.33,4.76
109年05月08日,22.33,4.76
109年05月11日,22.60,4.81
109年05月12日,22.15,4.72
109年05月13日,22.30,4.75
109年05月14日,18.95,4.53
109年05月15日,19.28,4.61
109年05月18日,18.76,4.49
109年05月19日,18.86,4.51
109年05月20日,19.02,4.55
109年05月21日,19.24,4.60
109年05月22日,18.89,4.52
109年05月25日,18.89,4.52
109年05月26日,19.11,4.57
109年05月27日,19.18,4.59
109年05月28日,19.02,4.55
109年05月29日,18.89,4.52
109年06月01日,19.11,4.57
109年06月02日,19.18,4.59
109年06月03日,19.47,4.66
109年06月04日,19.79,4.73
109年06月05日,20.15,4.82
109年06月08日,20.57,4.92
109年06月09日,20.63,4.94
109年06月10日,20.86,4.99
109年06月11日,20.73,4.96
109年06月12日,20.44,4.89
109年06月15日,20.02,4.79
109年06月16日,20.38,4.87
109年06月17日,20.38,4.87
109年06月18日,20.34,4.87
109年06月19日,20.34,4.87
109年06月22日,20.18,4.83
109年06月23日,20.38,4.87
109年06月24日,20.54,4.91
109年06月29日,20.18,4.83
109年06月30日,20.25,4.84
109年07月01日,20.54,4.91
109年07月02日,20.83,4.98
109年07月03日,21.31,5.10
109年07月06日,21.86,5.23
109年07月07日,21.90,5.24
109年07月08日,22.06,5.28
109年07月09日,22.32,5.34
109年07月10日,22.54,5.39
109年07月13日,22.93,5.48
109年07月14日,23.51,5.62
109年07月15日,23.48,5.62
109年07月16日,23.12,5.53
109年07月17日,23.74,5.68
109年07月20日,23.67,5.66
109年07月21日,24.77,5.93
109年07月22日,24.84,5.94
109年07月23日,24.68,5.90
109年07月24日,24.97,5.97
109年07月27日,27.46,6.57
109年07月28日,28.14,6.73
109年07月29日,27.30,6.53
109年07月30日,28.07,6.71
109年07月31日,27.52,6.58
109年08月03日,26.91,6.44
109年08月04日,27.52,6.58
109年08月05日,27.75,6.64
109年08月06日,28.14,6.73
109年08月07日,28.01,6.70
109年08月10日,28.17,6.74
109年08月11日,27.75,6.64
109年08月12日,27.10,6.48
109年08月13日,27.75,6.64
109年08月14日,24.34,6.44
109年08月17日,24.80,6.56
109年08月18日,24.69,6.53
109年08月19日,24.37,6.44
109年08月20日,23.66,6.25
109年08月21日,24.20,6.40
109年08月24日,24.40,6.45
109年08月25日,24.77,6.55
109年08月26日,25.20,6.66
109年08月27日,25.31,6.69
109年08月28日,24.80,6.56
109年08月31日,24.32,6.43
109年09月01日,24.80,6.56
109年09月02日,24.69,6.53
109年09月03日,24.86,6.57
109年09月04日,24.46,6.47
109年09月07日,24.29,6.42
109年09月08日,24.57,6.50
109年09月09日,24.34,6.44
109年09月10日,24.80,6.56
109年09月11日,24.89,6.58
109年09月14日,25.14,6.65
109年09月15日,25.37,6.71
109年09月16日,26.11,6.90
109年09月17日,25.57,6.76
109年09月18日,25.31,6.69
109年09月21日,25.09,6.63
109年09月22日,24.91,6.59
109年09月23日,24.71,6.53
109年09月24日,24.12,6.38
109年09月25日,24.17,6.39
109年09月28日,24.60,6.50
109年09月29日,24.57,6.50
109年09月30日,24.69,6.53
109年10月05日,24.66,6.52
109年10月06日,25.06,6.62
109年10月07日,25.26,6.68
109年10月08日,25.83,6.83
109年10月12日,26.23,6.93
109年10月13日,26.34,6.96
109年10月14日,26.17,6.92
109年10月15日,25.83,6.83
109年10月16日,25.60,6.77
109年10月19日,26.08,6.90
109年10月20日,25.71,6.80
109年10月21日,25.83,6.83
109年10月22日,25.94,6.86
109年10月23日,25.77,6.81
109年10月26日,25.66,6.78
109年10月27日,25.48,6.74
109年10月28日,25.31,6.69
109年10月29日,24.91,6.59
109年10月30日,24.63,6.51
109年11月02日,24.83,6.56
109年11月03日,25.14,6.65
109年11月04日,25.66,6.78
109年11月05日,25.71,6.80
109年11月06日,25.80,6.82
109年11月09日,26.14,6.91
109年11月10日,25.71,6.80
109年11月11日,26.05,6.89
109年11月12日,26.11,6.90
109年11月13日,24.39,6.70
109年11月16日,25.55,7.02
109年11月17日,25.63,7.04
109年11月18日,26.24,7.21
109年11月19日,25.87,7.11
109年11月20日,25.77,7.08
109年11月23日,26.21,7.20
109年11月24日,25.98,7.14
109年11月25日,25.71,7.07
109年11月26日,25.82,7.09
109年11月27日,25.82,7.09
109年11月30日,25.37,6.97
109年12月01日,25.87,7.11
109年12月02日,26.35,7.24
109年12月03日,26.24,7.21
109年12月04日,26.56,7.30
109年12月07日,27.14,7.46
109年12月08日,27.67,7.60
109年12月09日,27.46,7.54
109年12月10日,27.03,7.43
109年12月11日,27.24,7.49
109年12月14日,26.82,7.37
109年12月15日,26.61,7.31
109年12月16日,27.03,7.43
109年12月17日,26.82,7.37
109年12月18日,26.93,7.40
109年12月21日,27.24,7.49
109年12月22日,26.87,7.38
109年12月23日,26.87,7.38
109年12月24日,26.93,7.40
109年12月25日,26.98,7.41
109年12月28日,27.19,7.47
109年12月29日,27.19,7.47
109年12月30日,27.72,7.62
109年12月31日,27.98,7.69
110年01月04日,28.30,7.78
110年01月05日,28.62,7.86
110年01月06日,28.99,7.96
110年01月07日,29.83,8.20
110年01月08日,30.62,8.41
110年01月11日,30.83,8.47
110年01月12日,31.20,8.57
110年01月13日,31.94,8.78
110年01月14日,31.26,8.59
110年01月15日,31.73,8.72
110年01月18日,32.05,8.81
110年01月19日,33.10,9.10
110年01月20日,34.16,9.39
110年01月21日,35.53,9.76
110年01月22日,34.27,9.42
110年01月25日,33.42,9.18
110年01月26日,32.58,8.95
110年01月27日,32.47,8.92
110年01月28日,31.73,8.72
110年01月29日,31.20,8.57
110年02月01日,32.26,8.86
110年02月02日,33.37,9.17
110年02月03日,33.26,9.14
110年02月04日,33.10,9.10
110年02月05日,33.37,9.17
110年02月17日,35.01,9.62
110年02月18日,34.85,9.57
110年02月19日,34.42,9.46
110年02月22日,34.32,9.43
110年02月23日,33.84,9.30
110年02月24日,33.00,9.07
110年02月25日,33.53,9.21
110年02月26日,30.35,8.50
110年03月02日,30.50,8.54
110年03月03日,31.15,8.72
110年03月04日,30.10,8.43
110年03月05日,30.10,8.43
110年03月08日,29.94,8.38
110年03月09日,29.79,8.34
110年03月10日,29.89,8.37
110年03月11日,30.50,8.54
110年03月12日,30.75,8.61
110年03月15日,30.60,8.57
110年03月16日,30.70,8.59
110年03月17日,30.25,8.47
110年03月18日,30.15,8.44
110年03月19日,29.59,8.29
110年03月22日,29.69,8.31
110年03月23日,29.74,8.33
110年03月24日,28.84,8.08
110年03月25日,28.79,8.06
110年03月26日,29.54,8.27
110年03月29日,29.99,8.40
110年03月30日,29.89,8.37
110年03月31日,29.39,8.23
110年04月01日,30.15,8.44
110年04月06日,30.55,8.55
110年04月07日,30.55,8.55
110年04月08日,30.70,8.59
110年04月09日,30.55,8.55
110年04月12日,30.30,8.48
110年04月13日,30.30,8.48
110年04月14日,30.65,8.58
110年04月15日,31.00,8.68
110年04月16日,30.55,8.55
110年04月19日,30.20,8.45
110年04月20日,30.15,8.44
110年04月21日,29.64,8.30
110年04月22日,29.59,8.29
110年04月23日,30.15,8.44
110年04月26日,30.55,8.55
110年04月27日,30.55,8.55
110年04月28日,30.15,8.44
110年04月29日,30.05,8.41
110年05月03日,29.44,8.24
110年05月04日,29.59,8.29
110年05月05日,29.29,8.20
110年05月06日,29.39,8.23
110年05月07日,29.99,8.40
110年05月10日,29.49,8.26
110年05月11日,28.59,8.01
110年05月12日,28.04,7.85
110年05月13日,27.39,7.67
110年05月14日,26.71,7.45
110年05月17日,26.33,7.34
110年05月18日,27.43,7.65
110年05月19日,27.19,7.58
110年05月20日,27.19,7.58
110年05月21日,27.48,7.66
110年05月24日,27.24,7.60
110年05月25日,27.96,7.80
110年05月26日,28.06,7.82
110年05月27日,27.91,7.78
110年05月28日,28.30,7.89
110年05月31日,28.63,7.98
110年06月01日,28.68,8.00
110年06月02日,28.54,7.96
110年06月03日,28.59,7.97
110年06月04日,28.54,7.96
110年06月07日,28.39,7.92
110年06月08日,28.25,7.88
110年06月09日,28.11,7.84
110年06月10日,28.73,8.01
110年06月11日,28.87,8.05
110年06月15日,29.21,8.14
110年06月16日,29.02,8.09
110年06月17日,29.06,8.10
110年06月18日,28.92,8.06
110年06月21日,27.96,7.80
110年06月22日,27.72,7.73
110年06月23日,28.54,7.96
110年06月24日,28.30,7.89
110年06月25日,28.35,7.90
110年06月28日,28.30,7.89
110年06月29日,28.54,7.96
110年06月30日,28.54,7.96
110年07月01日,28.44,7.93
110年07月02日,28.20,7.86
110年07月05日,28.35,7.90
110年07月06日,28.39,7.92
110年07月07日,28.49,7.94
110年07月08日,28.20,7.86
110年07月09日,28.01,7.81
110年07月12日,28.44,7.93
110年07月13日,29.11,8.12
110年07月14日,29.40,8.20
110年07月15日,29.45,8.21
110年07月16日,28.25,7.88
110年07月19日,27.91,7.78
110年07月20日,27.87,7.77
110年07月21日,28.06,7.82
110年07月22日,28.35,7.90
110年07月23日,28.06,7.82
110年07月26日,27.82,7.76
110年07月27日,27.82,7.76
110年07月28日,27.77,7.74
110年07月29日,27.96,7.80
110年07月30日,27.82,7.76
110年08月02日,28.30,7.89
110年08月03日,28.49,7.94
110年08月04日,28.59,7.97
110年08月05日,28.59,7.97
110年08月06日,28.35,7.90
110年08月09日,28.54,7.96
110年08月10日,28.35,7.90
110年08月11日,28.30,7.89
110年08月12日,28.11,7.84
110年08月13日,27.19,7.56
110年08月16日,27.33,7.60
110年08月17日,27.14,7.55
110年08月18日,26.86,7.47
110年08月19日,26.16,7.28
110年08月20日,25.83,7.19
110年08月23日,26.49,7.37
110年08月24日,26.77,7.45
110年08月25日,27.37,7.62
110年08月26日,27.80,7.73
110年08月27日,28.03,7.80
110年08月30日,28.31,7.88
110年08月31日,28.73,7.99
110年09月01日,28.69,7.98
110年09月02日,28.40,7.90
110年09月03日,29.01,8.07
110年09月06日,29.53,8.22
110年09月07日,29.15,8.11
110年09月08日,28.97,8.06
110年09月09日,28.97,8.06
110年09月10日,29.11,8.10
110年09月13日,28.78,8.01
110年09月14日,28.69,7.98
110年09月15日,28.40,7.90
110年09月16日,28.08,7.81
110年09月17日,28.08,7.81
110年09月22日,27.42,7.63
110年09月23日,27.52,7.66
110年09月24日,27.98,7.79
110年09月27日,28.17,7.84
110年09月28日,27.80,7.73
110年09月29日,27.14,7.55
110年09月30日,27.14,7.55
110年10月01日,26.86,7.47
110年10月04日,26.77,7.45
110年10月05日,26.77,7.45
110年10月06日,26.72,7.43
110年10月07日,27.14,7.55
110年10月08日,26.91,7.49
110年10月12日,26.91,7.49
110年10月13日,26.72,7.43
110年10月14日,26.81,7.46
110年10月15日,28.08,7.81
110年10月18日,27.61,7.68
110年10月19日,28.08,7.81
110年10月20日,27.98,7.79
110年10月21日,27.89,7.76
110年10月22日,28.08,7.81
110年10月25日,27.75,7.72
110年10月26日,28.03,7.80
110年10月27日,28.03,7.80
110年10月28日,27.84,7.75
110年10月29日,27.61,7.68
110年11月01日,27.61,7.68
110年11月02日,27.70,7.71
110年11月03日,27.70,7.71
110年11月04日,27.47,7.64
110年11月05日,28.08,7.81
110年11月08日,28.17,7.84
110年11月09日,28.59,7.95
110年11月10日,28.64,7.97
110年11月11日,28.36,7.89
110年11月12日,27.33,7.54
110年11月15日,27.51,7.59
110年11月16日,27.60,7.62
110年11月17日,27.60,7.62
110年11月18日,27.74,7.66
110年11月19日,27.96,7.72
110年11月22日,27.83,7.68
110年11月23日,27.69,7.64
110年11月24日,27.29,7.53
110年11月25日,27.29,7.53
110年11月26日,26.97,7.44
110年11月29日,26.83,7.41
110年11月30日,26.97,7.44
110年12月01日,27.15,7.49
110年12月02日,27.83,7.68
110年12月03日,27.51,7.59
110年12月06日,27.15,7.49
110年12月07日,27.47,7.58
110年12月08日,27.24,7.52
110年12月09日,27.51,7.59
110年12月10日,27.38,7.56
110年12月13日,27.19,7.51
110年12月14日,27.10,7.48
110年12月15日,27.15,7.49
110年12月16日,27.38,7.56
110年12月17日,27.47,7.58
110年12月20日,27.06,7.47
110年12月21日,27.01,7.46
110年12月22日,27.15,7.49
110年12月23日,27.42,7.57
110年12月24日,27.33,7.54
110年12月27日,27.42,7.57
110年12月28日,27.83,7.68
110年12月29日,27.87,7.69
110年12月30日,27.83,7.68
111年01月03日,28.55,7.88
111年01月04日,29.68,8.19
111年01月05日,29.41,8.12
111年01月06日,29.14,8.04
111年01月07日,28.69,7.92
111年01月10日,29.10,8.03
111年01月11日,29.46,8.13
111年01月12日,29.86,8.24
111年01月13日,29.91,8.26
111年01月14日,30.41,8.39
111年01月17日,30.90,8.53
111年01月18日,29.95,8.27
111年01月19日,29.59,8.17
111年01月20日,29.46,8.13
111年01月21日,29.00,8.01
111年01月24日,29.55,8.16
111年01月25日,29.00,8.01
111年01月26日,28.78,7.94
111年02月07日,28.73,7.93
111年02月08日,28.42,7.84
111年02月09日,28.64,7.91
111年02月10日,29.37,8.11
111年02月11日,29.41,8.12
111年02月14日,28.82,7.96
111年02月15日,28.64,7.91
111年02月16日,29.23,8.07
111年02月17日,29.19,8.06
111年02月18日,28.82,7.96
111年02月21日,28.60,7.89
111年02月22日,28.37,7.83
111年02月23日,28.28,7.81
111年02月24日,27.33,7.54
111年02月25日,26.25,7.22
111年03月01日,26.25,7.22
111年03月02日,26.12,7.19
111年03月03日,26.16,7.20
111年03月04日,25.86,7.12
111年03月07日,25.03,6.89
111年03月08日,24.47,6.73
111年03月09日,24.68,6.79
111年03月10日,25.51,7.02
111年03月11日,24.99,6.88
111年03月14日,24.86,6.84
111年03月15日,24.25,6.67
111年03月16日,24.25,6.67
111年03月17日,25.29,6.96
111年03月18日,25.25,6.95
111年03月21日,25.47,7.01
111年03月22日,25.34,6.97
111年03月23日,25.64,7.06
111年03月24日,25.68,7.07
111年03月25日,25.99,7.15
111年03月28日,25.38,6.98
111年03月29日,25.60,7.04
111年03月30日,26.08,7.18
111年03月31日,25.95,7.14
111年04月01日,25.60,7.04
111年04月06日,25.12,6.91
111年04月07日,24.60,6.77
111年04月08日,24.64,6.78
111年04月11日,24.25,6.67
111年04月12日,24.21,6.66
111年04月13日,24.90,6.85
111年04月14日,24.90,6.85
111年04月15日,24.42,6.72
111年04月18日,24.38,6.71
111年04月19日,24.55,6.76
111年04月20日,24.77,6.82
111年04月21日,24.55,6.76
111年04月22日,24.25,6.67
111年04月25日,23.77,6.54
111年04月26日,23.73,6.53
111年04月27日,22.86,6.29
111年04月28日,23.08,6.35
111年04月29日,23.38,6.43
111年05月03日,23.08,6.35
111年05月04日,23.21,6.39
111年05月05日,23.55,6.48
111年05月06日,22.95,6.31
111年05月09日,22.60,6.22
111年05月10日,22.51,6.19
111年05月11日,22.64,6.23
111年05月12日,21.95,6.04
111年05月13日,20.09,5.72
111年05月16日,20.44,5.83
111年05月17日,20.83,5.94
111年05月18日,21.15,6.03
111年05月19日,20.52,5.85
111年05月20日,20.83,5.94
111年05月23日,20.75,5.92
111年05月24日,20.44,5.83
111年05月25日,20.60,5.87
111年05月26日,20.20,5.76
111年05月27日,20.83,5.94
111年05月30日,21.50,6.13
111年05月31日,22.01,6.27
111年06月01日,21.58,6.15
111年06月02日,21.23,6.05
111年06月06日,21.23,6.05
111年06月07日,21.03,5.99
111年06月08日,21.38,6.09
111年06月09日,21.27,6.06
111年06月10日,20.83,5.94
111年06月13日,20.28,5.78
111年06月14日,20.17,5.75
111年06月15日,20.01,5.70
111年06月16日,19.97,5.69
111年06月17日,19.69,5.61
111年06月20日,19.58,5.58
111年06月21日,19.85,5.66
111年06月22日,19.44,5.54
111年06月23日,19.08,5.44
111年06月24日,19.12,5.45
111年06月27日,19.60,5.58
111年06月28日,19.56,5.57
111年06月29日,19.30,5.50
111年06月30日,18.71,5.33
111年07月01日,17.83,5.08
111年07月04日,17.30,4.93
111年07月05日,17.53,5.00
111年07月06日,17.12,4.88
111年07月07日,17.98,5.13
111年07月08日,18.36,5.23
111年07月11日,18.16,5.18
111年07月12日,17.67,5.04
111年07月13日,18.49,5.27
111年07月14日,18.67,5.32
111年07月15日,19.36,5.52
111年07月18日,19.48,5.55
111年07月19日,19.30,5.50
111年07月20日,19.46,5.55
111年07月21日,19.69,5.61
111年07月22日,19.77,5.64
111年07月25日,19.63,5.60
111年07月26日,19.46,5.55
111年07月27日,19.73,5.62
111年07月28日,19.69,5.61
111年07月29日,20.01,5.70
111年08月01日,19.81,5.65
111年08月02日,19.34,5.51
111年08月03日,19.69,5.61
111年08月04日,19.65,5.60
111年08月05日,20.28,5.78
111年08月08日,20.13,5.74
111年08月09日,20.05,5.71
111年08月10日,19.65,5.60
111年08月11日,20.20,5.76
111年08月12日,17.59,5.37
111年08月15日,17.79,5.43
111年08月16日,17.86,5.45
111年08月17日,17.93,5.47
111年08月18日,17.69,5.40
111年08月19日,17.65,5.39
111年08月22日,17.35,5.30
111年08月23日,17.14,5.24
111年08月24日,17.11,5.22
111年08月25日,17.28,5.28
111年08月26日,17.41,5.32
111年08月29日,16.96,5.18
111年08月30日,16.87,5.15
111年08月31日,17.18,5.25
111年09月01日,16.68,5.10
111年09月02日,16.50,5.04
111年09月05日,16.53,5.05
111年09月06日,16.63,5.08
111年09月07日,16.07,4.91
111年09月08日,16.16,4.93
111年09月12日,16.55,5.05
111年09月13日,16.77,5.12
111年09月14日,16.33,4.99
111年09月15日,16.21,4.95
111年09月16日,16.05,4.90
111年09月19日,15.88,4.85
111年09月20日,16.21,4.95
111年09月21日,16.02,4.89
111年09月22日,15.80,4.82
111年09月23日,15.48,4.73
111年09月26日,15.19,4.64
111年09月27日,15.24,4.65
111年09月28日,14.90,4.55
111年09月29日,14.80,4.52
111年09月30日,14.35,4.38
111年10月03日,14.18,4.33
111年10月04日,14.59,4.46
111年10月05日,15.14,4.62
111年10月06日,15.34,4.68
111年10月07日,14.90,4.55
111年10月11日,13.66,4.17
111年10月12日,13.52,4.13
111年10月13日,13.44,4.10
111年10月14日,14.01,4.28
111年10月17日,13.50,4.12
111年10月18日,13.84,4.23
111年10月19日,13.45,4.11
111年10月20日,13.52,4.13
111年10月21日,13.25,4.05
111年10月24日,13.16,4.02
111年10月25日,12.62,3.85
111年10月26日,12.79,3.91
111年10月27日,13.11,4.00
111年10月28日,12.91,3.94
111年10月31日,13.27,4.05
111年11月01日,13.32,4.07
111年11月02日,13.44,4.10
111年11月03日,13.06,3.99
111年11月04日,12.99,3.97
111年11月07日,13.27,4.05
111年11月08日,13.57,4.14
111年11月09日,14.18,4.33
111年11月10日,13.86,4.23
111年11月11日,15.02,4.59
111年11月14日,13.01,4.21
111年11月15日,14.04,4.55
111年11月16日,14.24,4.61
111年11月17日,14.18,4.59
111年11月18日,14.24,4.61
111年11月21日,14.09,4.56
111年11月22日,14.36,4.65
111年11月23日,14.39,4.66
111年11月24日,14.50,4.70
111年11月25日,14.56,4.72
111年11月28日,14.05,4.55
111年11月29日,14.24,4.61
111年11月30日,14.33,4.64
111年12月01日,14.58,4.72
111年12月02日,14.40,4.66
111年12月05日,14.30,4.63
111年12月06日,13.98,4.53
111年12月07日,13.89,4.50
111年12月08日,13.79,4.47
111年12月09日,14.08,4.56
111年12月12日,13.89,4.50
111年12月13日,13.79,4.47
111年12月14日,14.05,4.55
111年12月15日,14.05,4.55
111年12月16日,13.77,4.46
111年12月19日,13.64,4.42
111年12月20日,13.38,4.33
111年12月21日,13.42,4.35
111年12月22日,13.68,4.43
111年12月23日,13.30,4.31
111年12月26日,13.35,4.32
111年12月27日,13.36,4.33
111年12月28日,13.19,4.27
111年12月29日,13.04,4.22
111年12月30日,13.11,4.25
112年01月03日,13.25,4.29
112年01月04日,13.14,4.26
112年01月05日,13.41,4.34
112年01月06日,13.41,4.34
112年01月09日,14.06,4.56
112年01月10日,14.21,4.60
112年01月11日,14.17,4.59
112年01月12日,14.23,4.61
112年01月13日,14.62,4.74
112年01月16日,14.77,4.78
112年01月17日,14.71,4.76
112年01月30日,15.88,5.14
112年01月31日,15.26,4.94
112年02月01日,15.50,5.02
112年02月02日,15.79,5.11
112年02月03日,15.85,5.13
112年02月06日,15.38,4.98
112年02月07日,15.29,4.95
112年02月08日,15.79,5.11
112年02月09日,15.79,5.11
112年02月10日,15.94,5.16
112年02月13日,15.82,5.12
112年02月14日,15.94,5.16
112年02月15日,15.35,4.97
112年02月16日,15.44,5.00
112年02月17日,15.15,4.91
112年02月20日,15.12,4.90
112年02月21日,15.09,4.89
112年02月22日,14.82,4.80
112年02月23日,15.15,4.91
112年02月24日,13.04,4.50
112年03月01日,13.32,4.60
112年03月02日,13.24,4.57
112年03月03日,13.16,4.54
112年03月06日,13.29,4.59
112年03月07日,13.37,4.61
112年03月08日,13.29,4.59
112年03月09日,13.32,4.60
112年03月10日,13.09,4.52
112年03月13日,13.16,4.54
112年03月14日,13.01,4.49
112年03月15日,13.04,4.50
112年03月16日,12.88,4.45
112年03月17日,13.21,4.56
112年03月20日,13.06,4.51
112年03月21日,13.19,4.55
112年03月22日,13.60,4.69
112年03月23日,13.72,4.74
112年03月24日,13.75,4.74
112年03月27日,13.55,4.67
112年03月28日,13.39,4.62
112年03月29日,13.52,4.67
112年03月30日,13.65,4.71
112年03月31日,13.60,4.69
112年04月06日,13.52,4.67
112年04月07日,13.55,4.67
112年04月10日,13.49,4.66
112年04月11日,13.37,4.61
112年04月12日,13.27,4.58
112年04月13日,13.01,4.49
112年04月14日,13.16,4.54
112年04月17日,13.27,4.58
112年04月18日,13.14,4.53
112年04月19日,13.01,4.49
112年04月20日,13.09,4.52
112年04月21日,13.04,4.50
112年04月24日,12.93,4.46
112年04月25日,12.70,4.38
112年04月26日,12.54,4.33
112年04月27日,12.59,4.34
112年04月28日,12.81,4.42
112年05月02日,12.78,4.41
112年05月03日,12.65,4.37
112年05月04日,12.70,4.38
112年05月05日,12.76,4.40
112年05月08日,12.86,4.44
112年05月09日,13.01,4.49
112年05月10日,12.83,4.43
112年05月11日,12.73,4.39
112年05月12日,12.60,4.18
112年05月15日,12.59,4.17
112年05月16日,12.83,4.25
112年05月17日,13.19,4.37
112年05月18日,13.47,4.47
112年05月19日,13.52,4.48
112年05月22日,13.49,4.47
112年05月23日,13.47,4.47
112年05月24日,13.34,4.42
112年05月25日,13.80,4.57
112年05月26日,14.38,4.77
112年05月29日,14.43,4.79
112年05月30日,14.38,4.77
112年05月31日,14.18,4.70
112年06月01日,14.00,4.64
112年06月02日,14.28,4.73
112年06月05日,14.10,4.68
112年06月06日,14.23,4.72
112年06月07日,14.43,4.79
112年06月08日,14.20,4.71
112年06月09日,14.35,4.76
112年06月12日,14.58,4.84
112年06月13日,15.07,5.00
112年06月14日,14.99,4.97
112年06月15日,15.02,4.98
112年06月16日,14.96,4.96
112年06月19日,14.81,4.91
112年06月20日,14.81,4.91
112年06月21日,14.76,4.89
112年06月26日,14.58,4.84
112年06月27日,14.53,4.82
112年06月28日,14.58,4.84
112年06月29日,14.56,4.83
112年06月30日,14.63,4.85
112年07月03日,14.71,4.88
112年07月04日,14.86,4.93
112年07月05日,14.79,4.90
112年07月06日,14.35,4.76
112年07月07日,14.35,4.76
112年07月10日,14.35,4.76
112年07月11日,14.66,4.86
112年07月12日,14.68,4.87
112年07月13日,14.86,4.93
112年07月14日,15.02,4.98
112年07月17日,15.02,4.98
112年07月18日,14.76,4.89
112年07月19日,14.76,4.89
112年07月20日,14.71,4.88
112年07月21日,14.23,4.72
112年07月24日,14.18,4.70
112年07月25日,14.46,4.79
112年07月26日,14.38,4.77
112年07月27日,14.46,4.79
112年07月28日,14.41,4.78
112年07月31日,14.35,4.76
112年08月01日,14.41,4.78
112年08月02日,14.25,4.73
112年08月04日,14.08,4.67
112年08月07日,14.18,4.70
112年08月08日,14.02,4.65
112年08月09日,14.08,4.67
112年08月10日,14.00,4.64
112年08月11日,13.87,4.60
112年08月14日,14.53,4.40
112年08月15日,14.55,4.41
112年08月16日,14.55,4.41
112年08月17日,14.61,4.42
112年08月18日,14.47,4.38
