Date,Price to earning ratio,Price-book ratio
105年11月17日,15.34,3.31
105年11月18日,15.30,3.31
105年11月21日,15.30,3.31
105年11月22日,15.55,3.26
105年11月23日,15.68,3.23
105年11月24日,15.47,3.28
105年11月25日,15.38,3.30
105年11月28日,15.55,3.26
105年11月29日,15.38,3.30
105年11月30日,15.47,3.28
105年12月01日,15.47,3.28
105年12月02日,15.05,3.37
105年12月05日,15.13,3.35
105年12月06日,15.38,3.30
105年12月07日,15.34,3.31
105年12月08日,15.68,3.23
105年12月09日,15.72,3.23
105年12月12日,15.64,3.24
105年12月13日,15.72,3.23
105年12月14日,15.85,3.20
105年12月15日,15.81,3.21
105年12月16日,15.64,3.24
105年12月19日,15.43,3.29
105年12月20日,15.43,3.29
105年12月21日,15.22,3.33
105年12月22日,15.13,3.35
105年12月23日,15.09,3.36
105年12月26日,15.17,3.34
105年12月27日,15.22,3.33
105年12月28日,15.38,3.30
105年12月29日,15.22,3.33
105年12月30日,15.34,3.31
106年01月03日,15.47,3.28
106年01月04日,15.47,3.28
106年01月05日,15.51,3.27
106年01月06日,15.55,3.26
106年01月09日,15.55,3.26
106年01月10日,15.55,3.26
106年01月11日,15.38,3.30
106年01月12日,15.60,3.25
106年01月13日,15.34,3.31
106年01月16日,15.17,3.34
106年01月17日,15.30,3.31
106年01月18日,15.30,3.31
106年01月19日,15.26,3.32
106年01月20日,15.30,3.31
106年01月23日,15.64,3.24
106年01月24日,15.68,3.23
106年02月02日,15.60,3.25
106年02月03日,15.60,3.25
106年02月06日,15.60,3.25
106年02月07日,15.60,3.25
106年02月08日,15.51,3.27
106年02月09日,15.55,3.26
106年02月10日,15.68,3.23
106年02月13日,15.85,3.20
106年02月14日,15.85,3.20
106年02月15日,15.98,3.70
106年02月16日,14.66,3.70
106年02月17日,14.70,3.69
106年02月18日,14.70,3.69
106年02月20日,14.74,3.68
106年02月21日,14.74,3.68
106年02月22日,14.62,3.71
106年02月23日,14.62,3.71
106年02月24日,14.66,3.70
106年03月01日,14.43,3.76
106年03月02日,14.43,3.76
106年03月03日,14.27,3.80
106年03月06日,14.24,3.81
106年03月07日,14.39,3.77
106年03月08日,14.51,3.74
106年03月09日,14.31,3.79
106年03月10日,14.24,3.81
106年03月13日,14.47,3.75
106年03月14日,14.43,3.76
106年03月15日,14.47,3.75
106年03月16日,14.74,3.68
106年03月17日,14.86,3.66
106年03月20日,14.86,3.66
106年03月21日,15.13,3.59
106年03月22日,15.01,3.62
106年03月23日,15.01,3.62
106年03月24日,14.93,3.64
106年03月27日,14.97,3.63
106年03月28日,15.09,3.60
106年03月29日,14.86,3.66
106年03月30日,14.86,3.66
106年03月31日,14.66,3.70
106年04月05日,14.97,3.60
106年04月06日,14.86,3.57
106年04月07日,14.82,3.56
106年04月10日,14.74,3.55
106年04月11日,14.82,3.56
106年04月12日,14.82,3.56
106年04月13日,14.86,3.57
106年04月14日,14.66,3.53
106年04月17日,14.55,3.50
106年04月18日,14.58,3.51
106年04月19日,14.47,3.48
106年04月20日,14.51,3.49
106年04月21日,14.74,3.55
106年04月24日,14.74,3.55
106年04月25日,14.90,3.58
106年04月26日,14.82,3.56
106年04月27日,14.97,3.60
106年04月28日,15.09,3.63
106年05月02日,15.24,3.67
106年05月03日,15.36,3.70
106年05月04日,15.36,3.70
106年05月05日,15.32,3.69
106年05月08日,15.71,3.78
106年05月09日,15.79,3.80
106年05月10日,14.92,3.66
106年05月11日,15.07,3.70
106年05月12日,14.96,3.67
106年05月15日,14.96,3.67
106年05月16日,14.85,3.64
106年05月17日,14.81,3.63
106年05月18日,14.78,3.63
106年05月19日,14.74,3.62
106年05月22日,14.89,3.65
106年05月23日,14.89,3.65
106年05月24日,14.92,3.66
106年05月25日,15.03,3.69
106年05月26日,15.03,3.69
106年05月31日,14.74,3.62
106年06月01日,15.03,3.69
106年06月02日,15.18,3.72
106年06月03日,15.18,3.72
106年06月05日,15.40,3.78
106年06月06日,15.29,3.75
106年06月07日,15.36,3.77
106年06月08日,15.47,3.79
106年06月09日,15.40,3.78
106年06月12日,15.07,3.70
106年06月13日,15.11,3.71
106年06月14日,15.03,3.69
106年06月15日,15.11,3.71
106年06月16日,15.36,3.77
106年06月19日,15.47,3.79
106年06月20日,15.72,3.86
106年06月21日,15.65,3.84
106年06月22日,15.83,3.88
106年06月23日,15.76,3.87
106年06月26日,15.61,3.83
106年06月27日,15.36,3.77
106年06月28日,15.14,3.71
106年06月29日,15.25,3.74
106年06月30日,15.14,3.71
106年07月03日,15.18,3.72
106年07月04日,15.03,3.69
106年07月05日,15.14,3.71
106年07月06日,15.07,3.70
106年07月07日,14.96,3.67
106年07月10日,14.96,3.67
106年07月11日,15.40,3.78
106年07月12日,15.29,3.75
106年07月13日,15.58,3.82
106年07月14日,15.47,3.79
106年07月17日,15.47,3.79
106年07月18日,15.54,3.81
106年07月19日,15.58,3.82
106年07月20日,15.65,3.84
106年07月21日,15.54,3.81
106年07月24日,15.58,3.82
106年07月25日,15.54,3.81
106年07月26日,15.47,3.79
106年07月27日,15.65,3.84
106年07月28日,15.47,3.79
106年07月31日,15.58,3.82
106年08月01日,15.40,3.78
106年08月02日,15.69,3.85
106年08月03日,15.50,3.80
106年08月04日,15.47,3.79
106年08月07日,15.69,3.85
106年08月08日,15.80,3.87
106年08月09日,15.85,4.15
106年08月10日,15.82,4.14
106年08月11日,15.71,4.11
106年08月14日,15.59,4.08
106年08月15日,15.82,4.14
106年08月16日,15.74,4.12
106年08月17日,15.82,4.14
106年08月18日,15.71,4.11
106年08月21日,15.63,4.09
106年08月22日,15.85,4.15
106年08月23日,15.93,4.17
106年08月24日,16.04,4.19
106年08月25日,16.08,4.20
106年08月28日,15.96,4.17
106年08月29日,15.96,4.17
106年08月30日,16.08,4.20
106年08月31日,16.00,4.18
106年09月01日,16.00,4.18
106年09月04日,16.08,4.20
106年09月05日,16.11,4.21
106年09月06日,16.04,4.19
106年09月07日,16.04,4.19
106年09月08日,16.11,4.21
106年09月11日,16.04,4.19
106年09月12日,16.19,4.23
106年09月13日,16.11,4.21
106年09月14日,16.15,4.22
106年09月15日,16.15,4.22
106年09月18日,16.22,4.24
106年09月19日,16.37,4.28
106年09月20日,16.37,4.28
106年09月21日,16.33,4.27
106年09月22日,16.15,4.22
106年09月25日,16.04,4.19
106年09月26日,15.82,4.14
106年09月27日,15.89,4.16
106年09月28日,15.82,4.14
106年09月29日,16.00,4.18
106年09月30日,16.00,4.18
106年10月02日,16.30,4.26
106年10月03日,16.44,4.30
106年10月05日,16.59,4.34
106年10月06日,16.59,4.34
106年10月11日,17.22,4.50
106年10月12日,17.55,4.59
106年10月13日,17.55,4.59
106年10月16日,17.59,4.60
106年10月17日,17.41,4.55
106年10月18日,17.55,4.59
106年10月19日,17.66,4.62
106年10月20日,17.55,4.59
106年10月23日,17.66,4.62
106年10月24日,17.59,4.60
106年10月25日,17.59,4.60
106年10月26日,17.44,4.56
106年10月27日,17.66,4.62
106年10月30日,17.96,4.70
106年10月31日,17.96,4.70
106年11月01日,17.92,4.69
106年11月02日,17.81,4.66
106年11月03日,17.66,4.62
106年11月06日,17.70,4.63
106年11月07日,18.03,4.72
106年11月08日,17.92,4.69
106年11月09日,17.81,4.66
106年11月10日,17.78,4.65
106年11月13日,17.70,4.63
106年11月14日,18.09,4.35
106年11月15日,17.90,4.30
106年11月16日,17.94,4.31
106年11月17日,18.20,4.38
106年11月20日,17.97,4.32
106年11月21日,18.31,4.40
106年11月22日,18.24,4.39
106年11月23日,18.27,4.39
106年11月24日,18.39,4.42
106年11月27日,17.86,4.30
106年11月28日,17.63,4.24
106年11月29日,17.67,4.25
106年11月30日,17.03,4.10
106年12月01日,17.41,4.19
106年12月04日,17.63,4.24
106年12月05日,17.29,4.16
106年12月06日,17.11,4.11
106年12月07日,17.07,4.10
106年12月08日,17.11,4.11
106年12月11日,17.14,4.12
106年12月12日,17.14,4.12
106年12月13日,17.11,4.11
106年12月14日,17.37,4.18
106年12月15日,17.33,4.17
106年12月18日,17.11,4.11
106年12月19日,16.96,4.08
106年12月20日,16.92,4.07
106年12月21日,16.96,4.08
106年12月22日,17.14,4.12
106年12月25日,17.22,4.14
106年12月26日,17.03,4.10
106年12月27日,16.96,4.08
106年12月28日,17.03,4.10
106年12月29日,17.29,4.16
107年01月02日,17.52,4.21
107年01月03日,17.86,4.30
107年01月04日,18.05,4.34
107年01月05日,18.09,4.35
107年01月08日,18.24,4.39
107年01月09日,18.24,4.39
107年01月10日,17.82,4.29
107年01月11日,17.71,4.26
107年01月12日,17.86,4.30
107年01月15日,18.09,4.35
107年01月16日,18.12,4.36
107年01月17日,18.24,4.39
107年01月18日,18.73,4.50
107年01月19日,19.25,4.63
107年01月22日,19.71,4.74
107年01月23日,20.05,4.82
107年01月24日,19.44,4.68
107年01月25日,19.44,4.68
107年01月26日,19.22,4.62
107年01月29日,19.48,4.68
107年01月30日,19.07,4.58
107年01月31日,19.22,4.62
107年02月01日,19.56,4.70
107年02月02日,19.56,4.70
107年02月05日,19.07,4.58
107年02月06日,18.01,4.33
107年02月07日,18.09,4.35
107年02月08日,17.97,4.32
107年02月09日,17.52,4.21
107年02月12日,17.82,4.29
107年02月21日,18.33,4.13
107年02月22日,18.10,4.08
107年02月23日,18.52,4.17
107年02月26日,18.63,4.20
107年02月27日,18.59,4.19
107年03月01日,18.37,4.14
107年03月02日,18.14,4.09
107年03月05日,18.25,4.11
107年03月06日,18.90,4.26
107年03月07日,18.67,4.21
107年03月08日,18.86,4.25
107年03月09日,18.93,4.27
107年03月12日,19.20,4.33
107年03月13日,19.58,4.41
107年03月14日,19.43,4.38
107年03月15日,19.27,4.34
107年03月16日,19.27,4.34
107年03月19日,19.27,4.34
107年03月20日,19.12,4.31
107年03月21日,19.09,4.30
107年03月22日,19.01,4.28
107年03月23日,18.52,4.17
107年03月26日,18.41,4.15
107年03月27日,18.97,4.28
107年03月28日,18.52,4.17
107年03月29日,18.44,4.16
107年03月30日,18.59,4.19
107年03月31日,18.71,4.22
107年04月02日,18.63,4.20
107年04月03日,18.44,4.16
107年04月09日,18.52,4.17
107年04月10日,18.56,4.18
107年04月11日,18.75,4.22
107年04月12日,18.52,4.17
107年04月13日,18.48,4.17
107年04月16日,18.41,4.15
107年04月17日,17.99,4.05
107年04月18日,17.99,4.05
107年04月19日,18.48,4.17
107年04月20日,17.31,3.90
107年04月23日,17.12,3.86
107年04月24日,17.16,3.87
107年04月25日,17.01,3.83
107年04月26日,16.78,3.78
107年04月27日,16.89,3.81
107年04月30日,17.16,3.87
107年05月02日,16.75,3.60
107年05月03日,16.57,3.56
107年05月04日,16.75,3.60
107年05月07日,16.79,3.61
107年05月08日,17.13,3.68
107年05月09日,17.24,3.71
107年05月10日,17.24,3.71
107年05月11日,17.51,3.76
107年05月14日,17.51,3.76
107年05月15日,17.32,3.72
107年05月16日,17.32,3.72
107年05月17日,17.02,3.66
107年05月18日,16.79,3.61
107年05月21日,17.21,3.70
107年05月22日,17.21,3.70
107年05月23日,17.17,3.69
107年05月24日,17.21,3.70
107年05月25日,17.17,3.69
107年05月28日,17.05,3.67
107年05月29日,16.90,3.63
107年05月30日,16.60,3.57
107年05月31日,16.83,3.62
107年06月01日,16.83,3.62
107年06月04日,17.21,3.70
107年06月05日,17.21,3.70
107年06月06日,17.28,3.71
107年06月07日,17.28,3.71
107年06月08日,17.05,3.67
107年06月11日,16.98,3.65
107年06月12日,17.21,3.70
107年06月13日,17.43,3.75
107年06月14日,17.02,3.66
107年06月15日,17.36,3.73
107年06月19日,16.90,3.63
107年06月20日,16.98,3.65
107年06月21日,17.02,3.66
107年06月22日,17.09,3.67
107年06月25日,16.38,3.52
107年06月26日,16.12,3.46
107年06月27日,16.00,3.44
107年06月28日,15.93,3.42
107年06月29日,16.27,3.50
107年07月02日,16.08,3.46
107年07月03日,16.12,3.46
107年07月04日,16.23,3.49
107年07月05日,16.12,3.46
107年07月06日,16.30,3.50
107年07月09日,16.64,3.58
107年07月10日,16.68,3.58
107年07月11日,16.53,3.55
107年07月12日,16.57,3.56
107年07月13日,16.87,3.63
107年07月16日,16.79,3.61
107年07月17日,16.64,3.58
107年07月18日,16.75,3.60
107年07月19日,16.87,3.63
107年07月20日,17.84,3.83
107年07月23日,18.11,3.89
107年07月24日,18.11,3.89
107年07月25日,18.07,3.88
107年07月26日,18.11,3.89
107年07月27日,18.37,3.95
107年07月30日,18.44,3.96
107年07月31日,18.48,3.97
107年08月01日,18.63,4.00
107年08月02日,18.37,3.95
107年08月03日,18.56,3.99
107年08月06日,18.44,3.96
107年08月07日,18.14,3.90
107年08月08日,18.60,4.00
107年08月09日,18.56,3.99
107年08月10日,18.41,3.96
107年08月13日,18.07,3.88
107年08月14日,17.97,4.24
107年08月15日,17.82,4.20
107年08月16日,17.64,4.16
107年08月17日,17.68,4.17
107年08月20日,17.68,4.17
107年08月21日,17.79,4.19
107年08月22日,17.86,4.21
107年08月23日,18.04,4.26
107年08月24日,17.97,4.24
107年08月27日,18.08,4.26
107年08月28日,18.41,4.34
107年08月29日,19.11,4.51
107年08月30日,19.45,4.59
107年08月31日,18.89,4.46
107年09月03日,18.97,4.47
107年09月04日,19.00,4.48
107年09月05日,19.48,4.59
107年09月06日,19.26,4.54
107年09月07日,19.48,4.59
107年09月10日,19.52,4.60
107年09月11日,19.19,4.52
107年09月12日,19.23,4.53
107年09月13日,18.82,4.44
107年09月14日,19.26,4.54
107年09月17日,19.04,4.49
107年09月18日,18.78,4.43
107年09月19日,19.04,4.49
107年09月20日,19.19,4.52
107年09月21日,19.30,4.55
107年09月25日,19.45,4.59
107年09月26日,19.45,4.59
107年09月27日,19.56,4.61
107年09月28日,19.37,4.57
107年10月01日,19.41,4.58
107年10月02日,19.00,4.48
107年10月03日,19.19,4.52
107年10月04日,18.75,4.42
107年10月05日,18.45,4.35
107年10月08日,17.97,4.24
107年10月09日,18.01,4.25
107年10月11日,16.79,3.96
107年10月12日,17.49,4.12
107年10月15日,17.01,4.01
107年10月16日,17.49,4.12
107年10月17日,17.60,4.15
107年10月18日,17.45,4.12
107年10月19日,17.42,4.11
107年10月22日,17.49,4.12
107年10月23日,16.97,4.00
107年10月24日,16.94,3.99
107年10月25日,16.20,3.82
107年10月26日,16.31,3.85
107年10月29日,16.42,3.87
107年10月30日,16.46,3.88
107年10月31日,17.27,4.07
107年11月01日,17.38,4.10
107年11月02日,17.45,4.12
107年11月05日,17.34,4.09
107年11月06日,17.31,4.08
107年11月07日,17.27,4.07
107年11月08日,17.45,4.12
107年11月09日,17.05,4.02
107年11月12日,17.08,4.03
107年11月13日,16.79,3.96
107年11月14日,16.90,3.76
107年11月15日,17.09,3.80
107年11月16日,16.72,3.72
107年11月19日,16.42,3.65
107年11月20日,16.12,3.59
107年11月21日,16.20,3.60
107年11月22日,16.20,3.60
107年11月23日,16.16,3.60
107年11月26日,16.49,3.67
107年11月27日,16.57,3.69
107年11月28日,16.75,3.73
107年11月29日,16.94,3.77
107年11月30日,16.68,3.71
107年12月03日,17.38,3.87
107年12月04日,17.31,3.85
107年12月05日,16.72,3.72
107年12月06日,16.27,3.62
107年12月07日,16.35,3.64
107年12月10日,16.20,3.60
107年12月11日,16.46,3.66
107年12月12日,16.75,3.73
107年12月13日,16.72,3.72
107年12月14日,16.46,3.66
107年12月17日,16.53,3.68
107年12月18日,16.46,3.66
107年12月19日,16.68,3.71
107年12月20日,16.35,3.64
107年12月21日,16.53,3.68
107年12月22日,16.38,3.65
107年12月24日,16.27,3.62
107年12月25日,16.09,3.58
107年12月26日,16.01,3.56
107年12月27日,16.49,3.67
107年12月28日,16.68,3.71
108年01月02日,16.24,3.61
108年01月03日,15.94,3.55
108年01月04日,15.38,3.42
108年01月07日,15.75,3.51
108年01月08日,15.61,3.47
108年01月09日,15.94,3.55
108年01月10日,15.98,3.56
108年01月11日,16.31,3.63
108年01月14日,16.16,3.60
108年01月15日,16.35,3.64
108年01月16日,16.09,3.58
108年01月17日,16.31,3.63
108年01月18日,16.16,3.60
108年01月21日,16.35,3.64
108年01月22日,16.49,3.67
108年01月23日,16.31,3.63
108年01月24日,16.46,3.66
108年01月25日,16.72,3.72
108年01月28日,16.94,3.77
108年01月29日,16.46,3.66
108年01月30日,16.35,3.64
108年02月11日,16.86,3.75
108年02月12日,17.01,3.79
108年02月13日,16.94,3.77
108年02月14日,16.79,3.74
108年02月15日,16.79,3.74
108年02月18日,17.01,3.79
108年02月19日,16.94,3.77
108年02月20日,17.34,3.86
108年02月21日,17.49,3.89
108年02月22日,17.47,3.66
108年02月25日,17.58,3.68
108年02月26日,17.69,3.70
108年02月27日,17.65,3.70
108年03月04日,17.39,3.64
108年03月05日,17.21,3.60
108年03月06日,17.28,3.62
108年03月07日,17.28,3.62
108年03月08日,16.99,3.56
108年03月11日,17.02,3.56
108年03月12日,17.39,3.64
108年03月13日,17.50,3.66
108年03月14日,17.32,3.63
108年03月15日,17.65,3.70
108年03月18日,17.80,3.73
108年03月19日,17.76,3.72
108年03月20日,17.87,3.74
108年03月21日,18.13,3.80
108年03月22日,18.35,3.84
108年03月25日,17.84,3.73
108年03月26日,18.02,3.77
108年03月27日,17.84,3.73
